Name,ASIC/Codename,Vendor ID,Device ID, Integrated/APU,Discrete Mobile Part
NVIDIA GeForce 8800 GTX,,0x10DE,0x0191,0,0
NVIDIA GeForce 8800 GTS,,0x10DE,0x0193,0,0
NVIDIA GeForce 8800 Ultra,,0x10DE,0x0194,0,0
NVIDIA Quadro FX 5600,,0x10DE,0x019D,0,0
NVIDIA Quadro FX 4600,,0x10DE,0x019E,0,0
NVIDIA GeForce 8600 GTS,,0x10DE,0x0400,0,0
NVIDIA GeForce 8600 GT,,0x10DE,0x0401,0,0
NVIDIA GeForce 8600 GT,,0x10DE,0x0402,0,0
NVIDIA GeForce 8600 GS,,0x10DE,0x0403,0,0
NVIDIA GeForce 8400 GS,,0x10DE,0x0404,0,0
NVIDIA GeForce 9500M GS,,0x10DE,0x0405,0,1
NVIDIA GeForce 8300 GS,,0x10DE,0x0406,0,0
NVIDIA GeForce 8600M GT,,0x10DE,0x0407,0,1
NVIDIA GeForce 9650M GS,,0x10DE,0x0408,0,1
NVIDIA GeForce 8700M GT,,0x10DE,0x0409,0,1
NVIDIA Quadro FX 370,,0x10DE,0x040A,0,0
NVIDIA Quadro NVS 320M,,0x10DE,0x040B,0,1
NVIDIA Quadro FX 570M,,0x10DE,0x040C,0,1
NVIDIA Quadro FX 1600M,,0x10DE,0x040D,0,1
NVIDIA Quadro FX 570,,0x10DE,0x040E,0,0
NVIDIA Quadro FX 1700,,0x10DE,0x040F,0,0
NVIDIA GeForce GT 330,,0x10DE,0x0410,0,0
NVIDIA GeForce 8400 SE,,0x10DE,0x0420,0,0
NVIDIA GeForce 8500 GT,,0x10DE,0x0421,0,0
NVIDIA GeForce 8400 GS,,0x10DE,0x0422,0,0
NVIDIA GeForce 8300 GS,,0x10DE,0x0423,0,0
NVIDIA GeForce 8400 GS,,0x10DE,0x0424,0,0
NVIDIA GeForce 8600M GS,,0x10DE,0x0425,0,1
NVIDIA GeForce 8400M GT,,0x10DE,0x0426,0,1
NVIDIA GeForce 8400M GS,,0x10DE,0x0427,0,1
NVIDIA GeForce 8400M G,,0x10DE,0x0428,0,1
NVIDIA Quadro NVS 140M,,0x10DE,0x0429,0,1
NVIDIA Quadro NVS 130M,,0x10DE,0x042A,0,1
NVIDIA Quadro NVS 135M,,0x10DE,0x042B,0,1
NVIDIA GeForce 9400 GT,,0x10DE,0x042C,0,0
NVIDIA Quadro FX 360M,,0x10DE,0x042D,0,1
NVIDIA GeForce 9300M G,,0x10DE,0x042E,0,1
NVIDIA Quadro NVS 290,,0x10DE,0x042F,0,0
NVIDIA GeForce GTX 295,,0x10DE,0x05E0,0,0
NVIDIA GeForce GTX 280,,0x10DE,0x05E1,0,0
NVIDIA GeForce GTX 260,,0x10DE,0x05E2,0,0
NVIDIA GeForce GTX 285,,0x10DE,0x05E3,0,0
NVIDIA GeForce GTX 275,,0x10DE,0x05E6,0,0
NVIDIA GeForce GTX 260,,0x10DE,0x05EA,0,0
NVIDIA GeForce GTX 295,,0x10DE,0x05EB,0,0
NVIDIA Quadro CX,,0x10DE,0x05F9,0,0
NVIDIA Quadro FX 5800,,0x10DE,0x05FD,0,0
NVIDIA Quadro FX 4800,,0x10DE,0x05FE,0,0
NVIDIA Quadro FX 3800,,0x10DE,0x05FF,0,0
NVIDIA GeForce 8800 GTS 512,,0x10DE,0x0600,0,0
NVIDIA GeForce 9800 GT,,0x10DE,0x0601,0,0
NVIDIA GeForce 8800 GT,,0x10DE,0x0602,0,0
NVIDIA GeForce GT 230,,0x10DE,0x0603,0,0
NVIDIA GeForce 9800 GX2,,0x10DE,0x0604,0,0
NVIDIA GeForce 9800 GT,,0x10DE,0x0605,0,0
NVIDIA GeForce 8800 GS,,0x10DE,0x0606,0,0
NVIDIA GeForce GTS 240,,0x10DE,0x0607,0,0
NVIDIA GeForce 9800M GTX,,0x10DE,0x0608,0,1
NVIDIA GeForce 8800M GTS,,0x10DE,0x0609,0,1
NVIDIA GeForce GTX 280M,,0x10DE,0x060A,0,1
NVIDIA GeForce 9800M GT,,0x10DE,0x060B,0,1
NVIDIA GeForce 8800M GTX,,0x10DE,0x060C,0,1
NVIDIA GeForce GTX 285M,,0x10DE,0x060F,0,1
NVIDIA GeForce 9600 GSO,,0x10DE,0x0610,0,0
NVIDIA GeForce 8800 GT,,0x10DE,0x0611,0,0
NVIDIA GeForce 9800 GTX/9800 GTX+,,0x10DE,0x0612,0,0
NVIDIA GeForce 9800 GTX+,,0x10DE,0x0613,0,0
NVIDIA GeForce 9800 GT,,0x10DE,0x0614,0,0
NVIDIA GeForce GTS 250,,0x10DE,0x0615,0,0
NVIDIA GeForce 9800M GTX,,0x10DE,0x0617,0,1
NVIDIA GeForce GTX 260M,,0x10DE,0x0618,0,1
NVIDIA Quadro FX 4700 X2,,0x10DE,0x0619,0,0
NVIDIA Quadro FX 3700,,0x10DE,0x061A,0,0
NVIDIA Quadro VX 200,,0x10DE,0x061B,0,0
NVIDIA Quadro FX 3600M,,0x10DE,0x061C,0,1
NVIDIA Quadro FX 2800M,,0x10DE,0x061D,0,1
NVIDIA Quadro FX 3700M,,0x10DE,0x061E,0,1
NVIDIA Quadro FX 3800M,,0x10DE,0x061F,0,1
NVIDIA GeForce GT 230,,0x10DE,0x0621,0,0
NVIDIA GeForce 9600 GT,,0x10DE,0x0622,0,0
NVIDIA GeForce 9600 GS,,0x10DE,0x0623,0,0
NVIDIA GeForce 9600 GSO 512,,0x10DE,0x0625,0,0
NVIDIA GeForce GT 130,,0x10DE,0x0626,0,0
NVIDIA GeForce GT 140,,0x10DE,0x0627,0,0
NVIDIA GeForce 9800M GTS,,0x10DE,0x0628,0,1
NVIDIA GeForce 9700M GTS,,0x10DE,0x062A,0,1
NVIDIA GeForce 9800M GS,,0x10DE,0x062B,0,1
NVIDIA GeForce 9800M GTS,,0x10DE,0x062C,0,1
NVIDIA GeForce 9600 GT,,0x10DE,0x062D,0,0
NVIDIA GeForce 9600 GT,,0x10DE,0x062E,0,0
NVIDIA GeForce GTS 160M,,0x10DE,0x0631,0,1
NVIDIA GeForce 9600 GSO,,0x10DE,0x0635,0,0
NVIDIA GeForce 9600 GT,,0x10DE,0x0637,0,0
NVIDIA Quadro FX 1800,,0x10DE,0x0638,0,0
NVIDIA Quadro FX 2700M,,0x10DE,0x063A,0,1
NVIDIA GeForce 9500 GT,,0x10DE,0x0640,0,0
NVIDIA GeForce 9400 GT,,0x10DE,0x0641,0,0
NVIDIA GeForce 9500 GT,,0x10DE,0x0643,0,0
NVIDIA GeForce 9500 GS,,0x10DE,0x0644,0,0
NVIDIA GeForce 9500 GS,,0x10DE,0x0645,0,0
NVIDIA GeForce GT 120,,0x10DE,0x0646,0,0
NVIDIA GeForce 9600M GT,,0x10DE,0x0647,0,1
NVIDIA GeForce 9600M GS,,0x10DE,0x0648,0,1
NVIDIA GeForce 9600M GT,,0x10DE,0x0649,0,1
NVIDIA GeForce 9700M GT,,0x10DE,0x064A,0,1
NVIDIA GeForce 9500M G,,0x10DE,0x064B,0,1
NVIDIA GeForce 9650M GT,,0x10DE,0x064C,0,1
NVIDIA GeForce G 110M,,0x10DE,0x0651,0,1
NVIDIA GeForce GT 130M,,0x10DE,0x0652,0,1
NVIDIA GeForce GT 120M,,0x10DE,0x0653,0,1
NVIDIA GeForce GT 320M,,0x10DE,0x0654,0,1
NVIDIA GeForce GT 120,,0x10DE,0x0655,0,0
NVIDIA GeForce GT 120,,0x10DE,0x0656,0,0
NVIDIA Quadro FX 380,,0x10DE,0x0658,0,0
NVIDIA Quadro FX 580,,0x10DE,0x0659,0,0
NVIDIA Quadro FX 1700M,,0x10DE,0x065A,0,1
NVIDIA GeForce 9400 GT,,0x10DE,0x065B,0,0
NVIDIA Quadro FX 770M,,0x10DE,0x065C,0,1
NVIDIA GeForce G210,,0x10DE,0x065F,0,0
NVIDIA GeForce GTX 480,,0x10DE,0x06C0,0,0
NVIDIA GeForce GTX 465,,0x10DE,0x06C4,0,0
NVIDIA GeForce GTX 480M,,0x10DE,0x06CA,0,1
NVIDIA GeForce GTX 470,,0x10DE,0x06CD,0,0
NVIDIA Quadro 6000,,0x10DE,0x06D8,0,0
NVIDIA Quadro 5000,,0x10DE,0x06D9,0,0
NVIDIA Quadro 5000M,,0x10DE,0x06DA,0,1
NVIDIA Quadro 6000,,0x10DE,0x06DC,0,0
NVIDIA Quadro 4000,,0x10DE,0x06DD,0,0
NVIDIA GeForce 9300 GE,,0x10DE,0x06E0,0,0
NVIDIA GeForce 9300 GS,,0x10DE,0x06E1,0,0
NVIDIA GeForce 8400,,0x10DE,0x06E2,0,0
NVIDIA GeForce 8400 SE,,0x10DE,0x06E3,0,0
NVIDIA GeForce 8400 GS,,0x10DE,0x06E4,0,0
NVIDIA GeForce G100,,0x10DE,0x06E6,0,0
NVIDIA GeForce 9300 SE,,0x10DE,0x06E7,0,0
NVIDIA GeForce 9200M GS,,0x10DE,0x06E8,0,1
NVIDIA GeForce 9300M GS,,0x10DE,0x06E9,0,1
NVIDIA Quadro NVS 150M,,0x10DE,0x06EA,0,1
NVIDIA Quadro NVS 160M,,0x10DE,0x06EB,0,1
NVIDIA GeForce G 105M,,0x10DE,0x06EC,0,1
NVIDIA GeForce G 103M,,0x10DE,0x06EF,0,1
NVIDIA GeForce G105M,,0x10DE,0x06F1,0,1
NVIDIA Quadro NVS 420,,0x10DE,0x06F8,0,0
NVIDIA Quadro FX 370 LP,,0x10DE,0x06F9,0,0
NVIDIA Quadro NVS 450,,0x10DE,0x06FA,0,0
NVIDIA Quadro FX 370M,,0x10DE,0x06FB,0,1
NVIDIA Quadro NVS 295,,0x10DE,0x06FD,0,0
NVIDIA HICx16 + Graphics,,0x10DE,0x06FF,0,0
NVIDIA GeForce 8200M,,0x10DE,0x0840,0,1
NVIDIA GeForce 9100M G,,0x10DE,0x0844,0,1
NVIDIA GeForce 8200M G,,0x10DE,0x0845,0,1
NVIDIA GeForce 9200,,0x10DE,0x0846,0,0
NVIDIA GeForce 9100,,0x10DE,0x0847,0,0
NVIDIA GeForce 8300,,0x10DE,0x0848,0,0
NVIDIA GeForce 8200,,0x10DE,0x0849,0,0
NVIDIA nForce 730a,,0x10DE,0x084A,0,0
NVIDIA GeForce 9200,,0x10DE,0x084B,0,0
NVIDIA nForce 980a/780a SLI,,0x10DE,0x084C,0,0
NVIDIA nForce 750a SLI,,0x10DE,0x084D,0,0
NVIDIA GeForce 8100 / nForce 720a,,0x10DE,0x084F,0,0
NVIDIA GeForce 9400,,0x10DE,0x0860,0,0
NVIDIA GeForce 9400,,0x10DE,0x0861,0,0
NVIDIA GeForce 9400M G,,0x10DE,0x0862,0,1
NVIDIA GeForce 9400M,,0x10DE,0x0863,0,1
NVIDIA GeForce 9300,,0x10DE,0x0864,0,0
NVIDIA ION,,0x10DE,0x0865,0,1
NVIDIA GeForce 9400M G,,0x10DE,0x0866,0,1
NVIDIA GeForce 9400,,0x10DE,0x0867,0,0
NVIDIA nForce 760i SLI,,0x10DE,0x0868,0,0
NVIDIA GeForce 9400,,0x10DE,0x0869,0,0
NVIDIA GeForce 9400,,0x10DE,0x086A,0,0
NVIDIA GeForce 9300 / nForce 730i,,0x10DE,0x086C,0,0
NVIDIA GeForce 9200,,0x10DE,0x086D,0,0
NVIDIA GeForce 9100M G,,0x10DE,0x086E,0,1
NVIDIA GeForce 8200M G,Tesla,0x10DE,0x086F,0,1
NVIDIA GeForce 9400M,,0x10DE,0x0870,0,1
NVIDIA GeForce 9200,,0x10DE,0x0871,0,0
NVIDIA GeForce G102M,,0x10DE,0x0872,0,1
NVIDIA GeForce G102M,,0x10DE,0x0873,0,1
NVIDIA ION,,0x10DE,0x0874,0,1
NVIDIA ION,,0x10DE,0x0876,0,1
