ID, DeviceName
128A, GeForce GT 710
128C, GeForce GT 640 OEM
124D, GeForce GT 555M/635M
1251, GeForce GT 560M
1280, GeForce GT 635
1281, GeForce GT 710
1282, GeForce GT 640 Rev. 2
1284, GeForce GT 630 Rev. 2
1245, GeForce GTS 450 Rev. 2
1246, GeForce GT 550M
1247, GeForce GT 555M/635M
1248, GeForce GT 555M/635M
1249, GeForce GTS 450 Rev. 3
1212, GeForce GTX 675M
1213, GeForce GTX 670M
1241, GeForce GT 545 OEM
1243, GeForce GT 545
1244, GeForce GTX 550 Ti
1206, GeForce GTX 555
1207, GeForce GT 645 OEM
1208, GeForce GTX 560 SE
1210, GeForce GTX 570M
1211, GeForce GTX 580M
1200, GeForce GTX 560 Ti
1201, GeForce GTX 560
1202, GeForce GTX 560 Ti OEM
1203, GeForce GTX 460 SE v2
1205, GeForce GTX 460 v2
11E2, GeForce GTX 765M
11E3, GeForce GTX 760M
11E7, GeForce GTX 750 Ti
11C8, GeForce GTX 650 OEM
11CB, GeForce GT 740
11E0, GeForce GTX 770M
11E1, GeForce GTX 765M
11C3, GeForce GTX 650 Ti OEM
11C4, GeForce GTX 645 OEM
11C5, GeForce GT 740
11C6, GeForce GTX 650 Ti
11BE, GeForce GTX 660
11C2, GeForce GTX 650 Ti Boost
11BA, GeForce GTX 680MX
11A7, GeForce GTX 675MX
11A9, GeForce GTX 870M
11AF, GeForce GTX 780M
11A0, GeForce GTX 680M
11A1, GeForce GTX 670MX
11A2, GeForce GTX 675MX Mac Edition
1199, GeForce GTX 870M
119A, GeForce GTX 860M
119D, GeForce GTX 775M Mac Edition
119E, GeForce GTX 780M Mac Edition
118F, GeForce GTX 760 Rev. 2
1193, GeForce GTX 760 Ti OEM
1194, GeForce GTX 660 Rev. 2
1198, GeForce GTX 880M
1188, GeForce GTX 690
1189, GeForce GTX 670
118A, GeForce USM
118C, GeForce GTX 760 OEM
1186, GeForce GTX 660 Ti
1184, GeForce GTX 770
1185, GeForce GTX 660 OEM
1187, GeForce GTX 760
1140, GeForce 610M/710M/810M/820M / GT 620M/625M/630M/720M
1180, GeForce GTX 680
1182, GeForce GTX 760 Ti
1183, GeForce GTX 660 Ti
10F1, GeForce 8400 GS Rev. 3
10C5, GeForce 405
10D8, GeForce GTX 580
108E, GeForce 9300 GS Rev. 2
1082, GeForce GTX 560 Ti OEM
1084, GeForce GTX 560 OEM
1086, GeForce GTX 570 Rev. 2
1087, GeForce GTX 560 Ti 448 Cores
1088, GeForce GTX 590
1089, GeForce GTX 580 Rev. 2
105A, GeForce 610M
105B, GeForce 705M
107C, GeForce GTX 580
1081, GeForce GTX 570
1052, GeForce GT 520M
1054, GeForce 410M
1055, GeForce 410M
1056, GeForce 610M
1059, GeForce 610M
1049, GeForce GT 620 OEM
104A, GeForce GT 610
104B, GeForce GT 625 OEM
104C, GeForce GT 705
104D, GeForce GT 710
1050, GeForce GT 520M
1051, GeForce GT 520MX
103F, GeForce GT 520
1042, GeForce 510
1045, GeForce 605
1029, GeForce GTX TITAN Black
101E, GeForce GTX TITAN Z
1003, GeForce GTX Titan LE
1004, GeForce GTX 780
1005, GeForce GTX TITAN
1007, GeForce GTX 780 Rev. 2
1008, GeForce GTX 780 Ti 6GB
100A, GeForce GTX 780 Ti
0FF8, GeForce GT 755M Mac Edition
0FEC, GeForce 710A
0FED, GeForce 820M
0FEE, GeForce 810M
0FEF, GeForce GT 745M
0FE4, GeForce GT 750M
0FE5, GeForce K340 USM
0FE6, GeForce GT 750M Mac Edition
0FD9, GeForce GT 645M
0FDB, GeForce GT 740M
0FE0, GeForce GTX 660M Mac Edition
0FE1, GeForce GT 730M
0FE2, GeForce GT 745M
0FD1, GeForce GT 650M
0FD2, GeForce GT 640M
0FD3, GeForce GT 640M LE
0FD4, GeForce GTX 660M
0FD5, GeForce GT 650M Mac Edition
0FD6, GeForce GT 640M Mac Edition
0FC5, GeForce GT 1030
0FC6, GeForce GTX 650
0FC8, GeForce GT 740
0FC9, GeForce GT 730
0FCD, GeForce GT 755M
0FCE, GeForce GT 640M LE
0FB9, GeForce 940MX
0FC0, GeForce GT 640 OEM
0FC1, GeForce GT 640
0FC2, GeForce GT 630 OEM
0F00, GeForce GT 630
0F01, GeForce GT 620
0F02, GeForce GT 730
0F03, GeForce GT 610
0F06, GeForce GT 730
0FB0, GeForce GTX 460
0E23, GeForce GTX 460 SE
0E24, GeForce GTX 460 OEM
0E30, GeForce GTX 470M
0E31, GeForce GTX 485M
0E3A, GeForce GT 435M
0DF3, GeForce GT 420M
0DF4, GeForce GT 540M
0DF5, GeForce GT 525M
0DF6, GeForce GT 550M
0DF7, GeForce GT 520M
0DEA, GeForce 610M
0DEB, GeForce GT 555M
0DEC, GeForce GT 525M
0DED, GeForce GT 520M
0DEE, GeForce GT 415M
0DEF, GeForce GT 425M
0DF1, GeForce GT 420M
0DE2, GeForce GT 420
0DE3, GeForce GT 635M
0DE4, GeForce GT 520
0DE5, GeForce GT 530
0DE7, GeForce GT 610
0DE8, GeForce GT 620M
0DE9, GeForce GT 620M/630M/635M/640M LE
0DD2, GeForce GT 445M
0DD3, GeForce GT 435M
0DD6, GeForce GT 550M
0DD8, GeForce GT 440
0DE1, GeForce GT 430
0D9C, GeForce GT 440
0DC4, GeForce GTS 450
0DC5, GeForce GTS 450 OEM
0DC6, GeForce GTS 450 OEM
0DCD, GeForce GT 555M
0DCE, GeForce GT 555M
0DD1, GeForce GTX 460M
0D80, GeForce GTS 260M
0CA9, GeForce GTS 250M
0CAC, GeForce GT 220/315
0CAF, GeForce GT 335M
0CB0, GeForce GTS 350M
0CB1, GeForce GTS 360M
0CBC, GeForce GT 330
0CA2, GeForce GT 320
0CA3, GeForce GT 240
0CA4, GeForce GT 340
0CA5, GeForce GT 220
0CA7, GeForce GT 330
0BE3, GeForce 310M
0A76, GeForce 315M
0A7B, GeForce 505
0A7C, GeForce 305M
0A6F, GeForce 310M
0A71, GeForce 305M
0A72, GeForce 310M
